das;Kinderheim;e;;;;nomen;;gyerekotthon
die;Rente;n;;;;nomen;;nyugdíj
die;Großeltern;-;;;;nomen;;nagyszülõk
;mütterlicherseits;;;;;adjektive;;anyai részrõl
;väterlicherseits;;;;;adjektive;;apai részrõl
der;Großvater;Großväter;;;;nomen;;nagypapa
der;Opa;s;;;;nomen;;nagypapa (röviden)
die;Großmutter;Großmütter;;;;nomen;;nagymama
die;Oma;s;;;;nomen;;nagymama (röviden)
der;Schwiegervater;Schwiegerväter;;;;nomen;;após
die;Schwiegermutter;Schwiegermütter;;;;nomen;;anyós
der;Onkel;-;;;;nomen;;nagybácsi
die;Tante;n;;;;nomen;;nagynéni
der;Cousin;s;;;;nomen;;unokatestvér (fiú)
die;Cousine;n;;;;nomen;;unokatestvér (lány)
der;Bruder;Brüder;;;;nomen;;fiútestvér
die;Schwester;n;;;;nomen;;lánytesetvér
der;Ehemann;Ehemänner;;;;nomen;;férj
die;Ehefrau;en;;;;nomen;;feleség
der;Neffe;n;;;;nomen;;unokaöccs
die;Nichte;n;;;;nomen;;unokahúg
der;Schwiegersohn;Schwiegersöhne;;;;nomen;;võ
die;Schwiegertochter;Schwiegertöchter;;;;nomen;;meny
der;Sohn;Söhne;;;;nomen;;fia
die;Tochter;Töchter;;;;nomen;;lánya
der;Enkel;-;;;;nomen;;fiúunoka
der;Enkelsohn;Enkelsöhne;;;;nomen;;fiúunoka
die;Enkelin;nen;;;;nomen;;lányunoka
die;Enkeltochter;Enkeltöchter;;;;nomen;;lányunoka
der;Verwandte;n;;;;nomen;;rokon
der;Blutsverwandte;n;;;;nomen;;vérrokon
der;Angehörige;n;;;;nomen;;hozzátartozó
der;Pate;n;;;;nomen;;keresztapa
die;Patin;nen;;;;nomen;;keresztanya
das;Patekind;er;;;;nomen;;keresztgyermek
der;Nachbar;n;;;;nomen;;szomszéd (férfi)
die;Nachbarin;nen;;;;nomen;;szomszéd (nõ)
der;Kollege;n;;;;nomen;;kolléga
der;Mitarbeiter;-;;;;nomen;;munkatárs, dolgozó
die;Kollegin;nen;;;;nomen;;kolléganõ
die;Mitarbeiterin;nen;;;;nomen;;munkatársnõ
der;Chef;s;;;;nomen;;szakács, fõnök
der;Mitschüler;-;;;;nomen;;osztálytárs
die;Mitschülerin;nen;;;;nomen;;osztálytársnõ
der;Schulkamerad;en;;;;nomen;;iskolatárs
;wenig;;;;;adjektive;;kevés
;nah;;;;;adjektive;;közeli
;entfernt;;;;;adjektive;;távoli
;weitläufig;;;;;adjektive;;tágas
;gehören;;;;;verben;;tartozni valamihez
;früh;;;;;adjektive;;korán
;spät;;;;;adjektive;;késõ
;zeitig;;;;;adjektive;;idejében, jókor
die;Uhr;en;;;;nomen;;óra
der;Tagesablauf;-;;;;nomen;;napirend
die;Dusche;n;;;;nomen;;zuhany
;nehmen;;;;;verben;;fog, visz
;kalt;;;;;adjektive;;hideg, hûvös
;warm;;;;;adjektive;;meleg
der;Zahn;Zähne;;;;nomen;;fog
;schminken;;;;;verben;;sminkelni
der;Arbeitsplatz;Arbeitsplätze;;;;nomen;;munkahely
das;Frühstück;e;;;;nomen;;reggeli
;kämmen;;;;;verben;;fésül
;anziehen;;;;;verben;;felöltözik, felvesz
;gehen;;;;;verben;;megy
der;Mittag;e;;;;nomen;;dél (napszak)
das;Mittag;e;;;;nomen;;ebéd
;lernen;;;;;verben;;tanul
die;Hausaufgabe;n;;;;nomen;;házifeladat
die;Aufgabe;n;;;;nomen;;feladat
;machen;;;;;verben;;csinál, elkészít
der;Kurs;e;;;;nomen;;tanfolyam, kurzus
;besuchen;;;;;verben;;meglátogat
die;Freizeit;en;;;;nomen;;szabadidõ
das;Kino;s;;;;nomen;;mozi
;lesen;;;;;verben;;olvas
;spielen;;;;;verben;;játszik
;fernsehen;;;;;verben;;tévét néz
;sehen;;;;;verben;;néz, lát
;beschäftigen;;;;;verben;;foglalkozni vmivel
;surfen;;;;;verben;;szörfözni
der;Straps;e;;;;nomen;;harisnyatartó
der;Tag;e;;;;nomen;;nap
;erholen;;;;;verben;;elhoz, kipiheni magát
der;Abend;e;;;;nomen;;este
das;Bett;-;;;;nomen;;ágy
;schlafen;;;;;verben;;alszik
;legen;;;;;verben;;fekszik, elhelyez
;hängen;;;;;verben;;lóg, akaszt
das;Familienprogramm;e;;;;nomen;;családi program
;gemeinsam;;;;;adjektive;;együtt, közösen
das;Wochenende;n;;;;nomen;;hétvége
;unternehmen;;;;;verben;;vállal, megtesz
der;Gast;Gäste;;;;nomen;;vendég
der;Ausflug;Ausflüge;;;;nomen;;kirándulás
das;Picknick;s;;;;nomen;;piknik
;empfangen;;;;;verben;;fogad, vesz
die;Wanderung;en;;;;nomen;;kirándulás, gyalogtúra
die;Radtour;en;;;;nomen;;kerékpártúra
der;Garten;Gärten;;;;nomen;;kert
das;Theater;-;;;;nomen;;színház
das;Museum;Museen;;;;nomen;;múzeum
das;Konzert;e;;;;nomen;;koncert
;faulenzen;;;;;verben;;lustálkodik
der;Betrug;Betruge;;;;nomen;;csalás
die;Scheidung;en;;;;nomen;;válás
;treiben;;;;;verben;;ûz, hajt, csinál
das;Fußballspiel;e;;;;nomen;;labdarúgás
;fremd;;;;;adjektive;;idegen, ismeretlen, furcsa
;leben;;;;;verben;;él
die;Kindererziehung;en;;;;nomen;;gyermeknevelés
das;Geldproblem;e;;;;nomen;;pénz probléma
das;Familienfest;e;;;;nomen;;családi ünnep
;betrügen;;;;;verben;;csal, becsap
;verlieben;;;;;verben;;szerelmes lesz, beleszeret vkibe
die;Beziehung;en;;;;nomen;;összefüggés, kapcsolat
das;Fest;e;;;;nomen;;ünnep, ünnepély
